Monthly_Income,Total_Spending,Savings_Amount,Groceries_Spending,Transport_Spending,Entertainment_Spending,Utilities_Spending,Loan_Repayment,Insurance,Shopping_Spending,Investment_Amount,Goal_Amount
13871000,9602000,4269000,1886000,1270000,717000,760000,1646000,758000,1855000,711000,100000000
15338000,11752000,3586000,2932000,1194000,906000,1156000,707000,784000,2375000,1697000,50000000
7876000,6540000,1336000,1630000,931000,466000,410000,1478000,412000,348000,865000,500000000
12278000,8984000,3294000,1867000,1222000,597000,711000,1526000,458000,1617000,986000,50000000
15555000,13475000,2080000,3181000,1714000,1071000,1119000,2535000,526000,1185000,2144000,100000000
9245000,7627000,1618000,1811000,940000,504000,615000,846000,487000,1340000,1084000,100000000
16878000,13111000,3768000,4106000,1529000,1333000,1136000,2012000,813000,1157000,1026000,500000000
11997000,6812000,5184000,1078000,388000,813000,641000,1593000,478000,568000,1253000,50000000
13542000,11865000,1677000,2896000,1279000,878000,836000,2110000,647000,1500000,1719000,200000000
11991000,11046000,945000,2404000,1092000,852000,871000,677000,840000,1972000,2337000,20000000
24261000,13626000,10635000,3798000,1335000,890000,1287000,1811000,1112000,1597000,1795000,200000000
14933000,10747000,4185000,1797000,1354000,1140000,1095000,1935000,790000,2064000,573000,100000000
9711000,5987000,3724000,1318000,573000,798000,448000,473000,262000,1136000,978000,500000000
19113000,16046000,3067000,4451000,2493000,1113000,1715000,1387000,839000,1362000,2686000,200000000
8896000,7337000,1559000,2127000,765000,888000,620000,527000,615000,1344000,451000,100000000
16044000,9039000,7005000,2335000,670000,1184000,627000,1812000,294000,718000,1398000,100000000
5202000,4654000,548000,983000,502000,570000,293000,596000,192000,528000,990000,20000000
8359000,4860000,3499000,1051000,741000,704000,290000,637000,139000,883000,415000,500000000
15984000,13727000,2258000,3277000,2285000,2399000,897000,1089000,396000,1764000,1620000,500000000
18692000,13190000,5502000,2326000,968000,764000,1065000,2710000,781000,2553000,2022000,100000000
15857000,10271000,5586000,1854000,945000,913000,600000,2156000,785000,1184000,1835000,100000000
14422000,8238000,6184000,1402000,1163000,953000,760000,1758000,226000,785000,1191000,500000000
13494000,7765000,5729000,1435000,437000,1017000,694000,1263000,474000,1389000,1056000,200000000
7607000,6070000,1538000,1484000,465000,805000,461000,1262000,264000,717000,611000,50000000
11401000,8524000,2876000,2304000,728000,646000,692000,1580000,545000,1539000,492000,50000000
12697000,7046000,5651000,1168000,804000,585000,506000,1114000,494000,1051000,1322000,200000000
20286000,11172000,9114000,1958000,1129000,1566000,1015000,1263000,776000,996000,2469000,200000000
16718000,8903000,7815000,1933000,642000,1076000,890000,672000,312000,1385000,1993000,50000000
6185000,5162000,1022000,1182000,760000,705000,452000,730000,181000,415000,738000,500000000
16620000,13635000,2986000,2367000,889000,1646000,997000,2771000,1120000,2320000,1525000,100000000
13075000,6881000,6194000,1269000,743000,405000,553000,1582000,166000,859000,1303000,50000000
11615000,8736000,2879000,1974000,952000,1282000,735000,957000,313000,646000,1875000,100000000
18058000,9717000,8341000,1893000,905000,1242000,783000,1676000,422000,1503000,1292000,500000000
20155000,18274000,1881000,3859000,1072000,1828000,1833000,2750000,1308000,3223000,2401000,20000000
19656000,17852000,1804000,3222000,1997000,1975000,1559000,3076000,984000,2805000,2234000,50000000
10804000,8797000,2007000,2491000,1051000,1309000,736000,568000,613000,1122000,906000,100000000
13454000,12334000,1120000,3071000,1203000,910000,1161000,984000,812000,2092000,2102000,20000000
16656000,14410000,2246000,3318000,1970000,1101000,1303000,1679000,1224000,2456000,1360000,50000000
19878000,17350000,2528000,3106000,2167000,1020000,1741000,4479000,665000,2577000,1595000,50000000
12604000,9533000,3071000,2028000,581000,1595000,1065000,656000,239000,1663000,1706000,500000000
14072000,8974000,5098000,1651000,631000,853000,630000,1653000,279000,1457000,1819000,100000000
9468000,5662000,3806000,1141000,427000,340000,359000,1367000,173000,985000,869000,200000000
9019000,5837000,3182000,993000,706000,579000,430000,1082000,134000,1187000,727000,20000000
19063000,14923000,4140000,3119000,1711000,915000,836000,2334000,1031000,2526000,2452000,100000000
21781000,12583000,9198000,2474000,1808000,841000,1211000,1828000,1051000,1671000,1700000,100000000
14640000,9024000,5616000,1944000,1077000,859000,760000,1518000,544000,1036000,1286000,500000000
20018000,14225000,5793000,2541000,2251000,1678000,1119000,2430000,521000,905000,2779000,50000000
16808000,10167000,6641000,2463000,1051000,1295000,878000,2291000,676000,887000,626000,20000000
11774000,9006000,2768000,1793000,908000,1242000,854000,1864000,550000,905000,890000,500000000
16807000,15386000,1421000,2220000,1968000,1728000,794000,2418000,1023000,2936000,2299000,50000000
22690000,18984000,3707000,4156000,1294000,1637000,1501000,4234000,1343000,2885000,1933000,200000000
14821000,11855000,2966000,2613000,1157000,1376000,919000,2613000,777000,857000,1544000,20000000
22823000,17396000,5427000,3122000,1356000,1571000,1586000,3354000,991000,2436000,2982000,200000000
5000000,3598000,1402000,813000,531000,354000,324000,593000,190000,308000,485000,100000000
19110000,11159000,7950000,2337000,1004000,988000,927000,2155000,758000,1047000,1942000,500000000
15435000,13932000,1503000,3082000,1113000,1295000,855000,3292000,427000,2197000,1669000,50000000
13505000,8263000,5242000,1750000,1087000,674000,813000,995000,266000,1276000,1402000,20000000
15459000,8365000,7094000,2058000,642000,499000,694000,1581000,350000,1559000,981000,100000000
5062000,4240000,823000,869000,719000,501000,427000,384000,323000,372000,645000,500000000
13902000,8049000,5852000,1922000,878000,1050000,639000,1378000,243000,1262000,679000,50000000
16786000,11202000,5584000,1976000,1258000,903000,660000,2568000,439000,1510000,1887000,500000000
22389000,11480000,10910000,2627000,978000,1707000,1056000,1333000,452000,2193000,1133000,100000000
12409000,6970000,5439000,1871000,1012000,818000,538000,626000,380000,987000,737000,20000000
10958000,6333000,4625000,1684000,1001000,995000,564000,568000,343000,724000,454000,100000000
12491000,6551000,5940000,1577000,884000,734000,532000,884000,431000,644000,865000,100000000
19577000,15573000,4004000,4404000,2388000,1222000,1404000,1683000,1019000,1459000,1995000,500000000
16644000,14591000,2053000,3376000,925000,2266000,822000,2080000,1140000,2986000,996000,50000000
12351000,8250000,4101000,1690000,1069000,1040000,489000,1455000,232000,1054000,1222000,200000000
17566000,15697000,1870000,4145000,1877000,1622000,890000,3800000,767000,1595000,1001000,200000000
15485000,9229000,6256000,1771000,1609000,873000,870000,846000,517000,1901000,843000,1000000000
19843000,12827000,7016000,2905000,1613000,984000,1295000,2773000,364000,1272000,1622000,100000000
11490000,6524000,4966000,1773000,556000,1034000,550000,560000,237000,994000,821000,20000000
13362000,10412000,2950000,3108000,1426000,731000,1146000,1618000,517000,693000,1174000,100000000
13039000,8983000,4056000,1946000,482000,929000,525000,2035000,523000,1445000,1099000,100000000
7682000,5961000,1721000,1431000,731000,697000,567000,390000,177000,1182000,786000,100000000
16481000,13889000,2592000,3950000,1468000,1102000,1146000,881000,580000,2905000,1855000,200000000
16305000,12157000,4149000,2826000,904000,1671000,940000,1619000,840000,1049000,2308000,50000000
15026000,11757000,3269000,1613000,1583000,1290000,908000,2571000,597000,1860000,1335000,50000000
13827000,12733000,1094000,2315000,2147000,1302000,1159000,828000,402000,1564000,3016000,100000000
7923000,5028000,2895000,988000,673000,475000,323000,457000,370000,920000,822000,200000000
12897000,8533000,4364000,1900000,1266000,1309000,520000,1676000,284000,932000,648000,500000000
13286000,10934000,2352000,2845000,1738000,1492000,851000,1411000,345000,925000,1328000,200000000
10989000,8517000,2471000,1772000,1077000,1043000,826000,567000,357000,1659000,1216000,100000000
14194000,8237000,5956000,2622000,657000,990000,1041000,656000,234000,732000,1305000,200000000
17020000,11391000,5629000,2579000,1942000,901000,811000,2245000,303000,1820000,791000,50000000
24431000,17359000,7072000,3878000,2273000,2466000,1291000,2672000,901000,1751000,2127000,200000000
15873000,10932000,4941000,2412000,1253000,1035000,519000,1920000,739000,1641000,1413000,100000000
16288000,9451000,6837000,2116000,1510000,885000,683000,808000,467000,1718000,1264000,50000000
14628000,13399000,1229000,2537000,1372000,1582000,944000,1954000,497000,2169000,2344000,200000000
5406000,4558000,849000,1076000,451000,533000,413000,810000,356000,283000,635000,100000000
14867000,10654000,4213000,2456000,1633000,815000,581000,1051000,263000,1988000,1868000,200000000
15301000,12333000,2968000,2320000,1224000,1747000,1130000,2024000,614000,1522000,1752000,200000000
27316000,24688000,2628000,4457000,3174000,1588000,1672000,5330000,978000,2305000,5184000,100000000
14038000,7879000,6159000,1495000,739000,936000,745000,2102000,363000,803000,696000,1000000000
16508000,10114000,6394000,1602000,1116000,960000,798000,1662000,438000,1821000,1716000,100000000
14826000,11034000,3792000,2217000,1507000,1011000,827000,2745000,651000,629000,1448000,1000000000
9157000,7871000,1286000,1265000,807000,952000,619000,1556000,339000,1222000,1110000,50000000
20714000,10695000,10019000,2017000,957000,1091000,583000,2246000,748000,1779000,1273000,50000000
18760000,17687000,1073000,4920000,1604000,2525000,1222000,3901000,432000,1754000,1330000,200000000
18955000,13358000,5597000,3159000,1653000,1322000,767000,1338000,946000,2504000,1669000,100000000
10453000,6916000,3537000,1757000,1020000,1044000,504000,794000,167000,537000,1094000,100000000
22014000,13907000,8107000,3497000,776000,1293000,840000,3168000,702000,803000,2828000,1000000000
7991000,4622000,3368000,1184000,337000,548000,377000,819000,171000,747000,440000,20000000
17934000,15355000,2579000,3361000,1088000,2518000,887000,1761000,1347000,2580000,1814000,100000000
25952000,24134000,1818000,5108000,3984000,1632000,1617000,5076000,1773000,2030000,2914000,100000000
10047000,6894000,3153000,1551000,769000,402000,639000,1529000,316000,839000,850000,100000000
12169000,11300000,869000,2447000,1477000,1520000,913000,1236000,785000,1097000,1825000,500000000
15498000,13494000,2004000,2876000,1596000,2168000,911000,2494000,932000,905000,1611000,500000000
12483000,8943000,3539000,1497000,954000,1261000,852000,1649000,765000,1251000,714000,50000000
7247000,5821000,1425000,1417000,799000,608000,516000,466000,385000,852000,779000,200000000
15343000,10675000,4668000,3001000,1111000,1691000,989000,1144000,415000,1388000,936000,100000000
9688000,7280000,2408000,1181000,689000,592000,536000,1782000,446000,1259000,795000,100000000
17368000,9138000,8230000,2066000,866000,836000,857000,2121000,706000,546000,1139000,100000000
10403000,8461000,1942000,1732000,685000,799000,746000,1982000,282000,1139000,1096000,100000000
22750000,11916000,10834000,2853000,1138000,700000,1149000,1689000,882000,1247000,2258000,100000000
11084000,9617000,1467000,2589000,620000,1022000,838000,1153000,333000,1237000,1825000,100000000
13390000,11665000,1724000,2341000,800000,1124000,955000,2735000,541000,2110000,1060000,200000000
19068000,11568000,7500000,2381000,993000,1386000,897000,2693000,298000,1789000,1131000,1000000000
8846000,5711000,3134000,1001000,725000,568000,487000,1196000,226000,404000,1103000,100000000
16137000,11564000,4573000,2205000,834000,1663000,1058000,1427000,813000,2235000,1328000,100000000
21536000,16550000,4986000,4577000,1687000,1729000,1027000,3542000,453000,2111000,1423000,500000000
6963000,4382000,2581000,935000,271000,437000,392000,960000,188000,486000,713000,50000000
15923000,12207000,3716000,2268000,1441000,1461000,1111000,2252000,788000,1707000,1180000,500000000
16299000,10334000,5966000,1910000,1331000,842000,639000,2041000,921000,968000,1683000,100000000
18909000,9927000,8982000,1797000,1243000,814000,642000,1833000,316000,1704000,1577000,100000000
8815000,4418000,4398000,893000,600000,539000,432000,924000,138000,546000,346000,50000000
8398000,4581000,3817000,1175000,428000,497000,533000,535000,176000,595000,642000,50000000
17610000,15083000,2527000,3556000,1149000,2538000,1608000,2312000,617000,1365000,1938000,200000000
16485000,15375000,1110000,2444000,976000,1658000,856000,3067000,867000,2534000,2973000,500000000
16252000,11249000,5004000,2228000,1630000,725000,763000,1135000,887000,2141000,1739000,100000000
16732000,12226000,4506000,2821000,1375000,1157000,693000,2732000,603000,2115000,731000,50000000
11600000,6566000,5033000,1294000,423000,987000,644000,1699000,283000,579000,657000,100000000
16161000,12088000,4073000,2606000,758000,1360000,1055000,2726000,771000,1936000,876000,20000000
16465000,9304000,7161000,2398000,1129000,1586000,1079000,1253000,338000,923000,599000,500000000
11428000,8857000,2571000,2622000,825000,1457000,1085000,828000,254000,651000,1135000,100000000
24329000,22382000,1947000,4898000,3868000,1666000,1631000,2081000,1671000,3640000,2928000,1000000000
17369000,10214000,7155000,2775000,1220000,696000,640000,1832000,371000,1711000,969000,200000000
9043000,7633000,1410000,1818000,954000,986000,818000,952000,377000,588000,1140000,200000000
18283000,9335000,8948000,2556000,1049000,804000,1004000,1118000,369000,1534000,901000,100000000
10127000,6774000,3352000,1221000,528000,760000,510000,660000,525000,1234000,1336000,100000000
18935000,10411000,8524000,2385000,1160000,1376000,762000,1730000,429000,866000,1703000,50000000
20793000,13695000,7098000,3380000,1804000,1596000,1151000,2366000,696000,1692000,1011000,1000000000
10897000,6299000,4597000,1437000,659000,693000,604000,1018000,258000,945000,684000,50000000
19817000,13237000,6579000,2650000,1414000,1612000,882000,1093000,353000,2457000,2776000,50000000
17064000,11738000,5326000,2492000,1547000,743000,810000,2722000,586000,1913000,924000,100000000
19110000,12140000,6970000,2228000,907000,1710000,1132000,1896000,1009000,2313000,945000,100000000
24484000,19476000,5007000,5059000,2365000,2709000,1365000,1691000,930000,3437000,1920000,50000000
13773000,12581000,1192000,2245000,1235000,1476000,1454000,836000,973000,2076000,2286000,100000000
11231000,7640000,3591000,1639000,1166000,755000,622000,781000,213000,1225000,1238000,50000000
10552000,6190000,4363000,1707000,409000,1023000,612000,863000,269000,832000,474000,200000000
10921000,6791000,4130000,1218000,892000,770000,592000,1342000,213000,968000,795000,100000000
14614000,12924000,1691000,3309000,807000,749000,972000,3269000,591000,2384000,843000,200000000
16706000,12650000,4056000,3312000,790000,1984000,868000,1460000,1030000,1896000,1309000,20000000
16383000,11546000,4837000,2307000,1329000,1376000,849000,2257000,460000,2147000,821000,100000000
19136000,10857000,8279000,2645000,1301000,1237000,622000,2649000,641000,814000,948000,50000000
15065000,10581000,4484000,2461000,1438000,966000,715000,1323000,762000,1198000,1719000,100000000
22268000,13924000,8343000,2800000,1623000,2323000,974000,1602000,662000,1274000,2666000,100000000
13677000,12643000,1034000,3042000,1334000,1651000,728000,1919000,543000,1357000,2070000,50000000
28601000,25679000,2922000,4082000,2907000,2493000,2319000,5523000,609000,4057000,3690000,500000000
18128000,9749000,8380000,2254000,970000,1358000,1001000,615000,482000,2046000,1022000,500000000
10714000,7848000,2866000,2074000,541000,787000,589000,1484000,653000,552000,1170000,200000000
9646000,5800000,3846000,1228000,405000,386000,541000,1118000,392000,1070000,660000,200000000
17412000,11925000,5488000,2006000,968000,1014000,797000,2232000,831000,2370000,1707000,100000000
13883000,12419000,1463000,2371000,1107000,1050000,818000,1979000,270000,2460000,2363000,100000000
18570000,13693000,4877000,2849000,1950000,1675000,766000,2172000,365000,1439000,2477000,500000000
17366000,11295000,6071000,2302000,1617000,793000,1071000,2155000,792000,1544000,1021000,200000000
14636000,8687000,5949000,1918000,1211000,1077000,662000,1572000,645000,635000,968000,500000000
10766000,9260000,1506000,2252000,1568000,1071000,554000,1269000,646000,1146000,756000,100000000
7426000,5800000,1626000,1242000,669000,634000,367000,1099000,240000,494000,1055000,100000000
12767000,9073000,3695000,1777000,785000,864000,827000,1130000,286000,1938000,1466000,20000000
19282000,11528000,7754000,2159000,1075000,1027000,837000,2502000,736000,1391000,1801000,100000000
16070000,10452000,5618000,2493000,1765000,1045000,1165000,1118000,332000,900000,1634000,100000000
8771000,8174000,597000,1535000,888000,855000,680000,737000,267000,1673000,1538000,100000000
15866000,11646000,4220000,2625000,1445000,1781000,1205000,1491000,802000,892000,1405000,100000000
16927000,11515000,5411000,1974000,695000,1233000,949000,2562000,344000,2070000,1688000,500000000
10581000,7773000,2808000,1571000,899000,1219000,788000,1776000,329000,643000,547000,100000000
15769000,13412000,2357000,3111000,1348000,1844000,1028000,2146000,434000,2397000,1105000,500000000
15291000,9986000,5305000,2102000,791000,1221000,526000,2183000,712000,1363000,1087000,50000000
9285000,5389000,3896000,1011000,676000,342000,401000,1120000,134000,815000,891000,100000000
16789000,12814000,3975000,2838000,682000,1824000,1079000,1590000,926000,1644000,2230000,100000000
17804000,14231000,3573000,2541000,2298000,1523000,929000,2540000,618000,1600000,2183000,50000000
20415000,16755000,3660000,3596000,944000,2263000,1388000,4293000,1287000,1693000,1291000,50000000
20269000,18179000,2090000,3557000,2438000,1986000,1178000,1920000,1299000,3235000,2566000,100000000
8112000,5411000,2701000,1362000,656000,667000,377000,823000,320000,727000,479000,100000000
10311000,5505000,4806000,1094000,599000,745000,310000,1039000,330000,878000,511000,500000000
17575000,16367000,1208000,4024000,1241000,1295000,1117000,3426000,649000,2861000,1754000,50000000
17569000,12224000,5345000,2835000,1521000,1215000,935000,787000,566000,1956000,2407000,100000000
17575000,13717000,3858000,2413000,2092000,950000,1052000,1112000,805000,2961000,2332000,50000000
30000000,23995000,6005000,5756000,1677000,1788000,2038000,5749000,1862000,3535000,1590000,200000000
17854000,13318000,4536000,3253000,917000,1774000,799000,818000,837000,2339000,2581000,50000000
20678000,12249000,8429000,3034000,978000,614000,962000,2847000,260000,2159000,1394000,500000000
19770000,16603000,3167000,4344000,1311000,2753000,1012000,2067000,758000,1127000,3232000,500000000
18257000,15732000,2525000,3235000,903000,1676000,930000,2510000,1064000,2950000,2463000,50000000
13424000,10052000,3371000,2077000,1215000,970000,774000,1680000,355000,921000,2060000,50000000
18795000,13530000,5265000,3542000,1068000,1244000,1262000,1934000,629000,2324000,1527000,100000000
11136000,6139000,4997000,1548000,724000,388000,549000,349000,269000,1197000,1114000,500000000
13816000,7430000,6386000,1814000,1084000,1132000,412000,705000,233000,1309000,741000,50000000
12573000,8208000,4365000,1696000,925000,973000,617000,1389000,329000,678000,1600000,100000000
15409000,9860000,5549000,1957000,768000,1037000,840000,1727000,856000,1294000,1383000,200000000
26573000,24690000,1883000,5869000,2830000,1505000,2234000,3499000,1870000,2955000,3928000,200000000
5664000,4829000,835000,1161000,470000,434000,337000,366000,288000,725000,1047000,100000000
18431000,14689000,3742000,3850000,1427000,1158000,1475000,2021000,1027000,2376000,1355000,1000000000
6936000,5084000,1852000,850000,428000,673000,419000,812000,272000,880000,751000,100000000
12640000,7272000,5368000,1511000,1003000,856000,628000,460000,159000,1255000,1401000,200000000
20445000,19224000,1220000,3909000,2705000,2173000,2160000,1379000,1345000,1381000,4171000,200000000
15321000,10246000,5075000,2502000,702000,1534000,1056000,1642000,883000,1007000,920000,500000000
9611000,5268000,4343000,1173000,658000,459000,537000,1094000,227000,684000,437000,100000000
11423000,8250000,3173000,2154000,807000,939000,934000,1001000,778000,513000,1123000,100000000
18398000,16435000,1963000,3016000,2483000,2034000,969000,1935000,1342000,1893000,2764000,100000000
11348000,10205000,1143000,1678000,1643000,631000,580000,2328000,317000,1154000,1873000,20000000
16082000,8121000,7962000,1684000,647000,689000,605000,1767000,597000,1017000,1114000,200000000
15228000,13687000,1541000,2644000,1396000,1756000,1618000,1885000,992000,1066000,2331000,200000000
11742000,7305000,4437000,1862000,948000,747000,737000,1044000,414000,966000,587000,500000000
25720000,13311000,12409000,3177000,1283000,1284000,855000,2830000,533000,1829000,1522000,200000000
18170000,16017000,2153000,3525000,1018000,1582000,1191000,3494000,825000,2435000,1947000,100000000
5000000,4444000,556000,829000,554000,415000,248000,545000,337000,788000,728000,100000000
15932000,12241000,3691000,3315000,1197000,870000,1055000,2982000,316000,1589000,915000,200000000
11691000,8868000,2823000,1854000,1154000,640000,619000,1460000,521000,1084000,1536000,20000000
19262000,16679000,2583000,4488000,1652000,1920000,981000,1921000,1103000,1040000,3574000,100000000
11037000,9424000,1613000,2351000,1234000,693000,642000,1915000,221000,641000,1726000,20000000
14426000,12992000,1435000,1967000,1459000,1737000,1076000,1781000,917000,2260000,1794000,100000000
17525000,13122000,4403000,2724000,1441000,1905000,1108000,1480000,1101000,2440000,922000,50000000
19329000,18081000,1248000,4201000,2755000,1941000,1170000,1634000,1298000,1216000,3868000,20000000
8999000,8533000,466000,1756000,738000,1023000,542000,1717000,208000,1402000,1148000,200000000
13327000,7363000,5965000,1379000,445000,746000,633000,1630000,548000,1026000,955000,200000000
12625000,11139000,1486000,2633000,822000,794000,1178000,783000,823000,2052000,2053000,100000000
11733000,8506000,3228000,1842000,654000,976000,821000,1600000,190000,1098000,1324000,20000000
23827000,16069000,7758000,4959000,1128000,2363000,1003000,1653000,1097000,1454000,2413000,1000000000
17025000,13209000,3816000,3663000,1820000,877000,916000,2694000,404000,1556000,1280000,50000000
8696000,4567000,4129000,952000,428000,402000,298000,1144000,141000,580000,621000,100000000
19589000,14259000,5330000,4103000,1095000,933000,1304000,1883000,582000,3010000,1349000,50000000
25611000,22842000,2769000,5764000,3266000,2020000,2036000,2959000,1083000,4254000,1461000,50000000
20162000,12018000,8144000,2806000,1385000,977000,674000,2445000,849000,1886000,995000,100000000
7403000,5122000,2281000,886000,538000,639000,541000,1114000,124000,687000,594000,50000000
12579000,11607000,972000,2315000,960000,898000,1142000,1693000,788000,1922000,1889000,100000000
21335000,14782000,6553000,3030000,1085000,882000,1181000,3657000,1296000,1570000,2079000,200000000
11462000,7579000,3882000,1332000,660000,561000,545000,1612000,403000,1364000,1103000,100000000
17219000,12023000,5196000,2090000,1734000,1659000,965000,1759000,863000,942000,2011000,100000000
18873000,13848000,5025000,3127000,1078000,1409000,1239000,907000,1161000,2484000,2443000,50000000
10365000,8131000,2235000,1896000,936000,802000,815000,1331000,551000,642000,1158000,200000000
14702000,12649000,2054000,2522000,1845000,1223000,758000,2499000,752000,1163000,1887000,200000000
5000000,3517000,1483000,751000,395000,434000,292000,326000,73000,563000,682000,200000000
9878000,8573000,1305000,1598000,959000,1000000,565000,713000,522000,1626000,1590000,100000000
13737000,10168000,3569000,2756000,1411000,686000,846000,1242000,559000,797000,1872000,500000000
8761000,5715000,3046000,1588000,862000,460000,532000,341000,334000,988000,610000,200000000
23162000,18439000,4723000,4430000,2281000,1439000,1059000,4039000,961000,1685000,2545000,50000000
7849000,6460000,1390000,1544000,889000,653000,359000,514000,482000,1270000,747000,1000000000
12800000,9614000,3186000,1775000,1104000,577000,594000,2119000,798000,1528000,1121000,100000000
15654000,8226000,7428000,2351000,1361000,802000,703000,992000,282000,517000,1217000,200000000
22206000,12801000,9406000,2031000,1822000,1389000,1018000,3117000,652000,1020000,1753000,100000000
7821000,4914000,2906000,999000,524000,448000,523000,819000,406000,442000,752000,100000000
20816000,13055000,7761000,2790000,1690000,1847000,959000,891000,855000,1332000,2691000,200000000
15051000,12087000,2964000,2471000,1315000,1056000,673000,2424000,807000,1583000,1759000,500000000
10092000,5130000,4963000,960000,683000,788000,377000,703000,226000,431000,961000,1000000000
17311000,14542000,2769000,3034000,1878000,2080000,813000,2434000,605000,1589000,2108000,1000000000
15995000,9908000,6088000,2105000,594000,1465000,577000,2708000,446000,857000,1155000,100000000
11999000,7673000,4325000,1721000,899000,1060000,570000,1119000,155000,1094000,1054000,20000000
15349000,11321000,4028000,2222000,1337000,734000,979000,2196000,786000,1409000,1659000,100000000
13073000,7807000,5266000,1397000,978000,1019000,758000,901000,334000,1175000,1245000,50000000
15568000,13980000,1588000,2445000,1616000,1094000,733000,2569000,560000,2598000,2364000,200000000
18311000,9859000,8452000,2572000,593000,1342000,629000,765000,718000,1204000,2036000,100000000
22930000,16050000,6880000,3336000,1666000,1545000,1318000,4044000,913000,1456000,1773000,100000000
8811000,7773000,1038000,1806000,1170000,700000,607000,798000,370000,1773000,549000,200000000
25665000,19945000,5720000,4374000,2919000,2969000,1733000,2247000,1486000,1195000,3022000,500000000
5240000,3309000,1931000,642000,253000,247000,260000,839000,241000,596000,231000,200000000
14241000,9817000,4424000,2000000,1203000,1403000,569000,903000,876000,828000,2035000,20000000
17942000,14676000,3265000,2922000,1930000,1738000,950000,1492000,865000,2215000,2564000,50000000
16405000,15387000,1018000,2699000,1971000,1265000,1496000,2613000,966000,1905000,2471000,500000000
11887000,10721000,1166000,1720000,1079000,924000,729000,2373000,380000,1695000,1821000,200000000
13959000,9131000,4829000,1552000,515000,639000,893000,1870000,258000,1586000,1818000,50000000
12535000,11898000,637000,2443000,1658000,1925000,950000,986000,357000,1027000,2552000,100000000
12053000,6046000,6008000,993000,694000,801000,457000,1089000,320000,817000,874000,100000000
19248000,9863000,9385000,2698000,1340000,1351000,641000,1482000,294000,905000,1154000,200000000
16785000,14615000,2170000,3016000,1827000,1947000,1253000,3586000,1074000,1088000,825000,500000000
11535000,6803000,4732000,1877000,764000,478000,733000,1442000,511000,514000,486000,200000000
19498000,10282000,9216000,1821000,1760000,1041000,642000,1842000,396000,790000,1991000,200000000
16536000,10033000,6504000,1869000,1478000,966000,688000,1878000,428000,1810000,916000,200000000
19064000,13188000,5877000,2891000,1348000,1330000,914000,2228000,782000,2484000,1211000,50000000
18148000,15040000,3108000,3010000,2033000,969000,1160000,2783000,984000,2146000,1955000,200000000
10855000,8477000,2378000,1667000,1388000,1048000,807000,647000,694000,1540000,687000,100000000
12199000,7404000,4795000,1385000,956000,839000,607000,554000,408000,1217000,1438000,1000000000
18736000,13612000,5125000,2907000,1517000,902000,1222000,1570000,418000,2615000,2461000,200000000
18052000,16550000,1502000,4225000,1851000,1139000,1357000,2624000,1246000,1625000,2482000,100000000
14895000,12911000,1985000,2295000,1219000,787000,1158000,1650000,993000,2069000,2739000,500000000
15587000,10060000,5526000,2539000,909000,1527000,611000,1123000,849000,999000,1502000,50000000
21388000,20148000,1240000,4286000,1957000,1606000,1128000,4543000,570000,2491000,3568000,100000000
12042000,9861000,2181000,2790000,1214000,817000,844000,636000,688000,915000,1958000,20000000
17735000,9366000,8369000,2281000,736000,1264000,863000,2351000,767000,589000,515000,200000000
