user_id,income,total_spending,savings_investment,spending_behavior_class,is_budget_tracker_user,spending_food,spending_transport,spending_bills,spending_entertainment,spending_shopping,spending_education,spending_other
38,23000000,13725000,9275000,balanced,1,4856000,1192000,3971000,399000,1126000,744000,1437000
39,34000000,24168000,9832000,high_spender,1,307000,517000,6728000,7819000,4170000,3796000,831000
40,16000000,8099000,7901000,balanced,0,619000,1094000,572000,2173000,2133000,780000,728000
41,27000000,13203000,13797000,savings_oriented,1,579000,2167000,1208000,2114000,3036000,2817000,1282000
42,28000000,13033000,14967000,savings_oriented,1,3709000,2096000,2166000,2069000,181000,2264000,548000
43,22000000,7777000,14223000,savings_oriented,1,1147000,2731000,374000,40000,1165000,1068000,1252000
44,34000000,14822000,19178000,savings_oriented,1,2235000,1412000,3100000,972000,3818000,1408000,1877000
45,17000000,11479000,5521000,balanced,1,1559000,1075000,1781000,1876000,1190000,1736000,2262000
46,33000000,26308000,6692000,high_spender,1,4232000,4896000,3774000,1190000,4536000,3050000,4630000
47,5000000,4605000,395000,high_spender,0,689000,514000,711000,858000,377000,367000,1089000
48,22000000,12385000,9615000,balanced,0,287000,3005000,1736000,3389000,2065000,804000,1099000
49,32000000,20099000,11901000,balanced,0,6825000,238000,306000,6844000,2791000,2990000,105000
50,42000000,27853000,14147000,balanced,0,10150000,38000,2702000,2943000,6783000,2643000,2594000
51,17000000,7535000,9465000,savings_oriented,1,1746000,1524000,551000,1082000,182000,1197000,1253000
52,14000000,6078000,7922000,savings_oriented,1,1011000,1365000,90000,574000,960000,1292000,786000
53,38000000,35470000,2530000,high_spender,0,9523000,2434000,5998000,2047000,2648000,9906000,2914000
54,46000000,21058000,24942000,savings_oriented,0,766000,1461000,4096000,3269000,1889000,3084000,6493000
55,24000000,19062000,4938000,high_spender,0,4141000,1997000,3264000,3799000,2867000,1596000,1398000
56,47000000,40266000,6734000,high_spender,1,278000,4606000,2816000,9412000,3240000,8636000,11278000
57,10000000,9883000,117000,high_spender,0,1496000,1171000,379000,2966000,1297000,1044000,1530000
58,25000000,21707000,3293000,high_spender,1,3711000,2908000,3804000,2520000,3649000,4102000,1013000
59,48000000,19071000,28929000,savings_oriented,0,472000,3710000,3465000,1808000,3652000,5299000,665000
60,6000000,4300000,1700000,high_spender,0,999000,803000,553000,497000,487000,358000,603000
61,48000000,28556000,19444000,balanced,0,1540000,2814000,8205000,2179000,2040000,9917000,1861000
62,35000000,30685000,4315000,high_spender,0,8668000,6105000,1758000,4318000,583000,3091000,6162000
63,27000000,15047000,11953000,balanced,0,534000,2822000,2771000,11000,3214000,2945000,2750000
64,24000000,20452000,3548000,high_spender,0,5734000,1580000,2939000,2498000,1944000,2326000,3431000
65,47000000,29264000,17736000,balanced,0,3881000,4974000,7382000,3114000,2889000,5945000,1079000
66,6000000,5739000,261000,high_spender,0,196000,1508000,445000,230000,516000,1496000,1348000
67,20000000,9505000,10495000,savings_oriented,0,652000,896000,1362000,815000,2032000,1824000,1924000
68,40000000,24953000,15047000,balanced,0,5982000,2434000,5208000,1462000,5070000,88000,4709000
69,50000000,30565000,19435000,balanced,0,5621000,5858000,5971000,5707000,229000,4941000,2238000
70,46000000,40609000,5391000,high_spender,0,7429000,3926000,9907000,4205000,5613000,2926000,6603000
71,21000000,7070000,13930000,savings_oriented,0,1857000,1433000,600000,887000,1233000,242000,818000
72,40000000,24237000,15763000,balanced,0,2261000,2613000,1968000,3956000,4592000,4126000,4721000
73,48000000,24893000,23107000,balanced,1,2063000,6193000,1786000,619000,8177000,3573000,2482000
74,30000000,23088000,6912000,high_spender,0,3015000,4089000,2596000,3322000,4212000,1562000,4292000
75,43000000,29728000,13272000,balanced,1,6582000,1511000,1963000,4227000,7949000,4749000,2747000
76,31000000,17004000,13996000,balanced,1,2266000,4585000,3809000,1728000,349000,2370000,1897000
77,27000000,24656000,2344000,high_spender,0,4510000,1197000,2194000,7728000,5059000,1813000,2155000
78,21000000,15289000,5711000,high_spender,0,2856000,1582000,3376000,1482000,1068000,1500000,3425000
79,34000000,11984000,22016000,savings_oriented,1,1563000,761000,3352000,2395000,3315000,402000,196000
80,25000000,19941000,5059000,high_spender,1,5491000,226000,974000,3405000,5133000,1389000,3323000
81,22000000,13099000,8901000,balanced,0,2776000,2453000,222000,2446000,1678000,1624000,1900000
82,31000000,22967000,8033000,high_spender,0,2326000,4454000,3164000,5378000,3071000,4324000,250000
83,19000000,14449000,4551000,high_spender,1,2414000,942000,2128000,800000,1766000,2843000,3556000
84,16000000,12156000,3844000,high_spender,0,2528000,2459000,642000,1800000,1592000,1742000,1393000
85,49000000,42893000,6107000,high_spender,0,4588000,13809000,2090000,4505000,4624000,3309000,9968000
86,42000000,31871000,10129000,high_spender,1,777000,2204000,2646000,5496000,6968000,7773000,6007000
87,17000000,8052000,8948000,savings_oriented,1,214000,852000,2026000,476000,2106000,1705000,673000
88,50000000,32181000,17819000,balanced,1,4012000,7396000,2011000,8512000,659000,4865000,4726000
89,23000000,21477000,1523000,high_spender,0,3714000,3036000,4317000,3319000,3157000,23000,3911000
90,17000000,11359000,5641000,balanced,1,3078000,670000,1364000,2338000,2772000,74000,1063000
91,22000000,11660000,10340000,balanced,1,2254000,1834000,1686000,1047000,1792000,1717000,1330000
92,45000000,32077000,12923000,high_spender,0,3161000,5337000,5390000,9047000,396000,6646000,2100000
93,38000000,22635000,15365000,balanced,1,753000,304000,6183000,4224000,4251000,5006000,1914000
94,50000000,18813000,31187000,savings_oriented,1,3616000,2872000,3787000,3450000,305000,1987000,2796000
95,30000000,29761000,239000,high_spender,1,6429000,188000,6607000,4849000,7299000,686000,3703000
96,24000000,9949000,14051000,savings_oriented,1,1081000,2911000,240000,1720000,547000,2038000,1412000
97,48000000,24924000,23076000,balanced,1,3091000,5349000,2395000,1867000,5411000,5185000,1626000
98,7000000,3962000,3038000,balanced,1,296000,156000,358000,850000,719000,948000,635000
99,16000000,4899000,11101000,savings_oriented,0,995000,485000,172000,717000,1352000,756000,422000
100,48000000,32012000,15988000,balanced,0,5493000,4923000,1983000,5999000,4924000,2403000,6287000
101,30000000,17447000,12553000,balanced,0,3694000,3508000,1711000,1658000,817000,2469000,3590000
102,11000000,4953000,6047000,savings_oriented,1,1006000,459000,492000,1166000,303000,834000,693000
103,5000000,4028000,972000,high_spender,1,528000,459000,102000,808000,1325000,484000,322000
104,19000000,16673000,2327000,high_spender,1,5712000,534000,598000,3350000,2417000,486000,3576000
105,21000000,13127000,7873000,balanced,0,2844000,1015000,1904000,845000,1979000,2996000,1544000
106,44000000,29633000,14367000,balanced,0,4724000,4048000,4485000,1734000,6727000,1256000,6659000
107,26000000,22849000,3151000,high_spender,1,4580000,3703000,1459000,2804000,1801000,3995000,4507000
108,11000000,7800000,3200000,high_spender,0,1194000,1778000,1629000,488000,210000,113000,2388000
109,6000000,3590000,2410000,balanced,0,1074000,510000,31000,599000,103000,740000,533000
110,15000000,12573000,2427000,high_spender,0,2744000,1650000,274000,404000,218000,4024000,3259000
111,13000000,8191000,4809000,balanced,1,481000,871000,2183000,1364000,421000,623000,2248000
112,49000000,15756000,33244000,savings_oriented,0,4007000,1739000,550000,2191000,2565000,3819000,885000
113,8000000,7751000,249000,high_spender,1,36000,658000,1646000,2976000,662000,1385000,388000
114,43000000,18494000,24506000,savings_oriented,1,4976000,2997000,2180000,2687000,2050000,1408000,2196000
115,35000000,11989000,23011000,savings_oriented,0,3109000,1260000,897000,1023000,2533000,452000,2715000
116,49000000,16823000,32177000,savings_oriented,0,4423000,98000,1344000,4752000,4012000,1049000,1145000
117,43000000,37448000,5552000,high_spender,1,5485000,6877000,1571000,4078000,5888000,6160000,7389000
118,44000000,38742000,5258000,high_spender,0,5078000,10646000,1706000,8164000,5857000,2578000,4713000
119,22000000,9747000,12253000,savings_oriented,1,1744000,731000,1510000,1537000,1396000,1176000,1653000
120,23000000,7521000,15479000,savings_oriented,1,1047000,1475000,773000,1219000,1236000,983000,788000
121,36000000,27961000,8039000,high_spender,1,1553000,7110000,881000,4716000,4501000,8218000,982000
122,39000000,22701000,16299000,balanced,1,2814000,4299000,935000,3960000,863000,1622000,8208000
123,41000000,30754000,10246000,high_spender,1,4309000,3317000,361000,2702000,8133000,9216000,2716000
124,31000000,18599000,12401000,balanced,1,2542000,2198000,787000,872000,6343000,3344000,2513000
125,42000000,24918000,17082000,balanced,0,4992000,5577000,173000,2405000,2855000,6455000,2461000
126,44000000,21916000,22084000,savings_oriented,0,2075000,3748000,3959000,1697000,4058000,6037000,342000
127,24000000,15593000,8407000,balanced,1,2096000,3917000,2068000,2399000,938000,3204000,971000
128,39000000,34857000,4143000,high_spender,1,8925000,8009000,330000,5359000,2725000,6024000,3485000
129,49000000,27196000,21804000,balanced,0,2160000,1358000,3565000,6558000,3731000,5921000,3903000
130,46000000,23724000,22276000,balanced,0,28000,6166000,1306000,5091000,5931000,900000,4302000
131,25000000,20101000,4899000,high_spender,0,3283000,5430000,769000,1619000,1753000,1764000,5483000
132,15000000,14259000,741000,high_spender,0,941000,1217000,1918000,2276000,3131000,82000,4694000
133,17000000,12991000,4009000,high_spender,0,1729000,1709000,968000,623000,1462000,3035000,3465000
134,39000000,24228000,14772000,balanced,1,4437000,3996000,5562000,1731000,935000,2008000,5559000
135,26000000,14018000,11982000,balanced,1,2786000,1743000,640000,2791000,1561000,520000,3977000
136,47000000,33866000,13134000,high_spender,1,1404000,6641000,7497000,10866000,688000,5419000,1351000
137,16000000,11510000,4490000,high_spender,0,966000,356000,2320000,2092000,1671000,1439000,2666000
138,7000000,5331000,1669000,high_spender,1,183000,595000,142000,499000,306000,2137000,1469000
139,6000000,5735000,265000,high_spender,0,478000,323000,1285000,157000,1488000,1636000,368000
140,41000000,31285000,9715000,high_spender,0,7049000,1436000,6411000,876000,6412000,5706000,3395000
141,47000000,24055000,22945000,balanced,1,2655000,5613000,1644000,7069000,1300000,2762000,3012000
142,47000000,36527000,10473000,high_spender,0,5046000,6273000,6691000,3947000,5247000,4327000,4996000
143,40000000,27447000,12553000,balanced,1,4374000,94000,6027000,5876000,1674000,3243000,6159000
144,33000000,16136000,16864000,savings_oriented,1,1423000,1605000,2203000,1658000,3573000,5052000,622000
145,40000000,26229000,13771000,balanced,1,1929000,3754000,1156000,3150000,862000,9226000,6152000
146,7000000,4405000,2595000,balanced,1,918000,304000,187000,571000,986000,473000,966000
147,36000000,15817000,20183000,savings_oriented,0,3518000,1023000,2871000,1229000,2000,5440000,1734000
148,31000000,25544000,5456000,high_spender,1,7629000,6146000,8080000,1229000,70000,2206000,184000
149,10000000,4698000,5302000,savings_oriented,1,1063000,981000,175000,1109000,543000,164000,663000
150,43000000,41680000,1320000,high_spender,1,6557000,9732000,5888000,5524000,624000,2668000,10687000
151,12000000,3781000,8219000,savings_oriented,0,964000,662000,4000,412000,1234000,356000,149000
152,42000000,31124000,10876000,high_spender,1,4062000,3748000,1027000,7974000,7999000,1818000,4496000
153,23000000,9409000,13591000,savings_oriented,0,3430000,708000,1009000,3390000,401000,340000,131000
154,17000000,6105000,10895000,savings_oriented,0,663000,896000,125000,1064000,1148000,1304000,905000
155,40000000,20275000,19725000,balanced,1,2322000,1410000,1265000,1772000,3191000,4866000,5449000
156,19000000,12018000,6982000,balanced,1,680000,2128000,2673000,1103000,2359000,674000,2401000
157,33000000,12970000,20030000,savings_oriented,1,379000,1109000,3507000,5419000,1235000,912000,409000
158,12000000,10229000,1771000,high_spender,1,573000,1779000,469000,1530000,1956000,2082000,1840000
159,31000000,10715000,20285000,savings_oriented,1,2166000,1943000,2545000,999000,1375000,1202000,485000
160,50000000,37286000,12714000,high_spender,1,4090000,8240000,5765000,4734000,3940000,1475000,9042000
161,19000000,16223000,2777000,high_spender,1,2523000,2876000,2569000,1697000,2967000,1618000,1973000
162,29000000,15576000,13424000,balanced,1,2614000,1923000,2628000,2206000,2925000,371000,2909000
163,39000000,20761000,18239000,balanced,0,2110000,393000,4738000,5370000,3550000,3615000,985000
164,47000000,30132000,16868000,balanced,1,3838000,3658000,5547000,5597000,2809000,2572000,6111000
165,42000000,29371000,12629000,balanced,0,1482000,1254000,6310000,5030000,6610000,1002000,7683000
166,32000000,21552000,10448000,balanced,1,2580000,4046000,2835000,2059000,3557000,1254000,5221000
167,44000000,26998000,17002000,balanced,1,3935000,5013000,1727000,6016000,927000,8359000,1021000
168,18000000,14869000,3131000,high_spender,0,2673000,3890000,2820000,1486000,3535000,107000,358000
169,44000000,23913000,20087000,balanced,1,8047000,7527000,2222000,42000,1124000,263000,4688000
170,28000000,22773000,5227000,high_spender,1,3406000,3189000,3872000,3433000,2376000,4737000,1760000
171,46000000,28245000,17755000,balanced,0,758000,6697000,1994000,4684000,4083000,4983000,5046000
172,38000000,15373000,22627000,savings_oriented,0,2479000,3623000,925000,493000,2382000,2184000,3287000
173,13000000,4906000,8094000,savings_oriented,0,484000,693000,559000,834000,424000,773000,1139000
174,27000000,12184000,14816000,savings_oriented,0,1816000,1002000,3975000,920000,2241000,343000,1887000
175,34000000,26616000,7384000,high_spender,1,4638000,3761000,5571000,5471000,4769000,1118000,1288000
176,13000000,12722000,278000,high_spender,1,248000,2239000,2841000,33000,2517000,2770000,2074000
177,26000000,22048000,3952000,high_spender,0,535000,5883000,1861000,1362000,3246000,4834000,4327000
178,40000000,32402000,7598000,high_spender,0,6580000,12753000,4360000,390000,986000,6348000,985000
179,49000000,41420000,7580000,high_spender,0,13428000,11336000,446000,7260000,2220000,5971000,759000
180,50000000,39032000,10968000,high_spender,1,3960000,4514000,7523000,101000,9041000,9384000,4509000
181,19000000,7834000,11166000,savings_oriented,0,2115000,1062000,255000,267000,2316000,727000,1092000
182,21000000,15814000,5186000,high_spender,0,1018000,3797000,2169000,3935000,2355000,2155000,385000
183,50000000,44679000,5321000,high_spender,0,5725000,8488000,5230000,6187000,1187000,8351000,9511000
184,12000000,5331000,6669000,savings_oriented,1,269000,1004000,723000,865000,780000,1269000,421000
185,23000000,8479000,14521000,savings_oriented,1,652000,1909000,1030000,1397000,472000,1281000,1738000
186,7000000,2138000,4862000,savings_oriented,1,318000,233000,280000,316000,402000,237000,352000
187,46000000,41431000,4569000,high_spender,0,4158000,7404000,6571000,5261000,5377000,3617000,9043000
188,8000000,6525000,1475000,high_spender,1,874000,523000,935000,843000,1153000,1398000,799000
189,17000000,16800000,200000,high_spender,1,292000,1574000,3111000,953000,2763000,3288000,4819000
190,42000000,15690000,26310000,savings_oriented,0,3378000,1534000,5180000,1076000,233000,718000,3571000
191,39000000,15814000,23186000,savings_oriented,1,4606000,1404000,3028000,236000,1474000,4395000,671000
192,17000000,12267000,4733000,high_spender,0,275000,2920000,366000,2730000,270000,3437000,2269000
193,7000000,2479000,4521000,savings_oriented,0,596000,148000,536000,179000,389000,488000,143000
194,32000000,24523000,7477000,high_spender,1,1892000,2613000,312000,6575000,9000000,69000,4062000
195,17000000,8048000,8952000,savings_oriented,1,1196000,1536000,828000,187000,1072000,1675000,1554000
196,20000000,11684000,8316000,balanced,0,4813000,476000,616000,4427000,693000,624000,35000
197,10000000,6616000,3384000,balanced,0,1172000,1046000,1491000,1376000,180000,361000,990000
198,36000000,19973000,16027000,balanced,1,2263000,4315000,600000,4541000,278000,3587000,4389000
199,20000000,14310000,5690000,high_spender,1,3649000,31000,2159000,2959000,915000,1234000,3363000
200,15000000,6607000,8393000,savings_oriented,1,169000,376000,548000,1631000,1127000,1172000,1584000
201,41000000,24230000,16770000,balanced,0,4591000,3558000,3349000,5109000,5827000,1352000,444000
202,33000000,20396000,12604000,balanced,1,5288000,2767000,577000,5013000,4577000,1178000,996000
203,35000000,29445000,5555000,high_spender,1,2429000,7449000,71000,6444000,1801000,3680000,7571000
204,6000000,4333000,1667000,high_spender,1,274000,1064000,729000,894000,232000,308000,832000
205,18000000,15775000,2225000,high_spender,1,3269000,458000,3370000,3231000,2115000,2591000,741000
206,30000000,15639000,14361000,balanced,0,1731000,5554000,794000,1779000,1333000,4409000,39000
207,9000000,8053000,947000,high_spender,0,1051000,1556000,978000,1744000,445000,2117000,162000
208,33000000,25435000,7565000,high_spender,1,5318000,4833000,4527000,2143000,5013000,2986000,615000
209,49000000,37592000,11408000,high_spender,0,98000,2639000,11363000,2341000,4184000,9451000,7516000
210,11000000,6190000,4810000,balanced,0,183000,15000,775000,295000,1617000,2777000,528000
211,11000000,10364000,636000,high_spender,0,1037000,2437000,1375000,2875000,220000,2043000,377000
212,24000000,18949000,5051000,high_spender,1,1257000,3401000,1481000,3069000,3859000,2875000,3007000
213,43000000,23726000,19274000,balanced,1,2752000,5030000,2274000,6957000,1473000,4835000,405000
214,38000000,18727000,19273000,savings_oriented,1,4086000,2331000,1349000,345000,968000,5584000,4064000
215,16000000,9672000,6328000,balanced,1,269000,420000,539000,3316000,1364000,1400000,2364000
216,7000000,6583000,417000,high_spender,1,1132000,938000,419000,1732000,263000,1244000,855000
217,26000000,14533000,11467000,balanced,0,1693000,2245000,1402000,2963000,2089000,1169000,2972000
218,36000000,32199000,3801000,high_spender,0,5973000,5949000,1542000,1284000,7322000,8856000,1273000
219,18000000,13474000,4526000,high_spender,0,1739000,733000,2960000,1420000,2160000,3007000,1455000
220,11000000,8248000,2752000,high_spender,0,2172000,764000,358000,1628000,2258000,258000,810000
221,49000000,23367000,25633000,savings_oriented,0,3262000,2565000,659000,2871000,6954000,901000,6155000
222,10000000,9035000,965000,high_spender,0,205000,1783000,2953000,591000,2139000,827000,537000
223,7000000,2228000,4772000,savings_oriented,1,613000,296000,619000,219000,102000,271000,108000
224,6000000,5786000,214000,high_spender,0,660000,1617000,895000,383000,835000,1000000,396000
225,37000000,36717000,283000,high_spender,1,3714000,7810000,5320000,4899000,6353000,6766000,1855000
226,16000000,8691000,7309000,balanced,0,197000,1553000,1106000,1913000,1940000,1672000,310000
227,49000000,46370000,2630000,high_spender,0,562000,13426000,2820000,772000,10867000,14253000,3670000
228,9000000,3111000,5889000,savings_oriented,0,513000,626000,413000,606000,43000,618000,292000
229,50000000,44467000,5533000,high_spender,0,6143000,9175000,5908000,7016000,10452000,4671000,1102000
230,26000000,13171000,12829000,balanced,1,648000,3449000,1286000,1598000,1157000,1708000,3325000
231,7000000,5039000,1961000,high_spender,0,841000,100000,1052000,1026000,568000,577000,875000
232,19000000,11601000,7399000,balanced,1,401000,631000,1579000,1818000,2482000,968000,3722000
233,18000000,8448000,9552000,savings_oriented,1,6000,1794000,325000,2379000,1378000,1743000,823000
234,10000000,9307000,693000,high_spender,1,2358000,20000,1389000,779000,2156000,1434000,1171000
235,42000000,32930000,9070000,high_spender,1,2205000,4315000,3713000,5743000,4010000,6442000,6502000
236,15000000,12389000,2611000,high_spender,1,1996000,1424000,2634000,1677000,907000,1974000,1777000
237,32000000,16529000,15471000,balanced,1,1293000,3366000,847000,4155000,2792000,2991000,1085000
238,13000000,7352000,5648000,balanced,0,817000,2046000,599000,1624000,1338000,442000,486000
239,40000000,13817000,26183000,savings_oriented,1,2309000,1127000,1172000,2598000,2443000,1982000,2186000
240,19000000,6506000,12494000,savings_oriented,0,1142000,453000,1181000,1417000,1678000,523000,112000
241,42000000,16518000,25482000,savings_oriented,0,2270000,2868000,1508000,3403000,3126000,1282000,2061000
242,44000000,32528000,11472000,high_spender,1,5011000,2372000,7870000,456000,6678000,6729000,3412000
243,10000000,4664000,5336000,savings_oriented,1,185000,1122000,346000,102000,959000,954000,996000
244,16000000,13892000,2108000,high_spender,1,3278000,2298000,2821000,1029000,481000,611000,3374000
245,46000000,39016000,6984000,high_spender,1,6377000,3370000,5442000,6786000,8748000,4179000,4114000
246,9000000,2894000,6106000,savings_oriented,1,325000,529000,632000,84000,480000,602000,242000
247,19000000,17116000,1884000,high_spender,1,2214000,1550000,624000,926000,4238000,3479000,4085000
248,36000000,12408000,23592000,savings_oriented,0,157000,2120000,2564000,3072000,3665000,486000,344000
249,8000000,4291000,3709000,balanced,0,888000,651000,252000,839000,176000,679000,806000
250,19000000,14299000,4701000,high_spender,1,4924000,3877000,554000,2396000,1074000,490000,984000
251,14000000,10695000,3305000,high_spender,1,1343000,508000,1536000,2243000,967000,1857000,2241000
252,5000000,4260000,740000,high_spender,0,477000,189000,668000,520000,1455000,845000,106000
253,12000000,5307000,6693000,savings_oriented,1,585000,84000,243000,828000,2007000,672000,888000
254,27000000,10268000,16732000,savings_oriented,1,3025000,2268000,217000,1346000,2401000,407000,604000
255,39000000,24736000,14264000,balanced,1,224000,5382000,217000,5762000,4175000,6247000,2729000
256,38000000,15934000,22066000,savings_oriented,1,929000,1641000,468000,1107000,3865000,3212000,4712000
257,29000000,27877000,1123000,high_spender,1,7012000,2682000,3529000,7971000,4201000,1492000,990000
258,37000000,11110000,25890000,savings_oriented,0,2094000,1906000,2449000,760000,1097000,1427000,1377000
259,36000000,26676000,9324000,high_spender,0,2897000,5470000,5673000,5189000,2228000,220000,4999000
260,28000000,22337000,5663000,high_spender,0,5740000,1667000,1600000,1805000,3317000,4205000,4003000
261,5000000,2232000,2768000,savings_oriented,0,404000,189000,531000,426000,33000,492000,157000
262,45000000,13815000,31185000,savings_oriented,0,493000,1209000,2233000,1496000,2901000,2583000,2900000
263,13000000,4874000,8126000,savings_oriented,1,1559000,383000,37000,1334000,689000,32000,840000
264,31000000,15632000,15368000,balanced,1,4505000,4837000,2405000,390000,454000,1592000,1449000
265,17000000,15706000,1294000,high_spender,0,840000,2566000,1716000,3592000,4445000,1904000,643000
266,27000000,26902000,98000,high_spender,0,5636000,1095000,3453000,1386000,2820000,6151000,6361000
267,39000000,31800000,7200000,high_spender,1,2969000,5601000,5441000,6035000,2111000,3093000,6550000
268,27000000,12473000,14527000,savings_oriented,1,4542000,144000,567000,1041000,961000,542000,4676000
269,29000000,18264000,10736000,balanced,1,6392000,4938000,1636000,2119000,423000,2247000,509000
270,47000000,39783000,7217000,high_spender,0,1565000,4526000,5707000,10946000,1002000,3317000,12720000
271,5000000,1662000,3338000,savings_oriented,1,288000,120000,444000,136000,410000,55000,209000
272,7000000,3571000,3429000,balanced,1,455000,69000,382000,425000,85000,413000,1742000
273,33000000,30594000,2406000,high_spender,0,241000,4275000,672000,11598000,3000,10629000,3176000
274,20000000,17192000,2808000,high_spender,0,3008000,984000,318000,2451000,3821000,2568000,4042000
275,35000000,20347000,14653000,balanced,1,2220000,3324000,811000,7608000,2129000,37000,4218000
276,24000000,13514000,10486000,balanced,1,1597000,1335000,2733000,1938000,1844000,2225000,1842000
277,15000000,11946000,3054000,high_spender,1,2029000,463000,1507000,2905000,2868000,23000,2151000
278,9000000,3237000,5763000,savings_oriented,1,193000,134000,760000,660000,420000,423000,647000
279,33000000,23138000,9862000,high_spender,0,5713000,3498000,2675000,2775000,1725000,1588000,5164000
280,8000000,3112000,4888000,savings_oriented,0,226000,716000,237000,385000,384000,790000,374000
281,19000000,18440000,560000,high_spender,1,3124000,5097000,1806000,1463000,2814000,1958000,2178000
282,28000000,25477000,2523000,high_spender,0,2378000,3164000,2857000,3542000,4849000,5470000,3217000
283,49000000,48820000,180000,high_spender,0,5248000,7045000,4722000,4428000,11474000,12272000,3631000
284,27000000,8784000,18216000,savings_oriented,1,2096000,2182000,460000,1668000,121000,768000,1489000
285,10000000,7520000,2480000,high_spender,1,1046000,1293000,1878000,738000,752000,242000,1571000
286,22000000,17833000,4167000,high_spender,1,2615000,3323000,1596000,1774000,3920000,2441000,2164000
287,35000000,20170000,14830000,balanced,1,4562000,3366000,2042000,5424000,1136000,1565000,2075000
288,17000000,14853000,2147000,high_spender,1,4104000,4217000,3020000,749000,437000,1440000,886000
289,48000000,37881000,10119000,high_spender,0,10326000,5759000,8916000,7416000,4450000,16000,998000
290,32000000,23371000,8629000,high_spender,1,1970000,6694000,5737000,2496000,5012000,347000,1115000
291,10000000,6368000,3632000,balanced,1,4000,1133000,1077000,3307000,207000,307000,333000
292,30000000,24965000,5035000,high_spender,1,1549000,2708000,5423000,5104000,2283000,5434000,2464000
293,39000000,37776000,1224000,high_spender,1,2224000,6486000,1793000,3991000,9570000,8320000,5392000
294,44000000,19852000,24148000,savings_oriented,0,772000,2006000,5206000,2038000,4733000,4049000,1048000
