Monthly_Income,Total_Spending,Savings_Amount,Groceries_Spending,Transport_Spending,Entertainment_Spending,Utilities_Spending,Loan_Repayment,Insurance,Shopping_Spending,Investment_Amount,Other_Spending,Goal_Amount
7009000,5446000,1563000,954000,454000,326000,296000,376000,213000,289000,671000,1867000,50000000
6201000,5016000,1185000,726000,458000,445000,228000,695000,205000,704000,298000,1257000,500000000
22320000,20428000,1892000,2538000,1045000,1650000,892000,1765000,976000,1261000,2194000,8107000,200000000
16823000,12758000,4065000,2147000,920000,1225000,951000,1784000,372000,683000,946000,3730000,1000000000
26047000,22660000,3387000,3650000,1652000,1624000,890000,2632000,652000,1509000,1576000,8475000,200000000
28478000,21680000,6798000,3532000,1462000,2113000,1233000,2365000,822000,1376000,2293000,6484000,200000000
25338000,19624000,5714000,3380000,2005000,1317000,997000,1619000,1178000,2485000,1184000,5459000,100000000
28637000,22495000,6142000,3825000,1447000,1999000,925000,2559000,921000,1149000,2064000,7606000,200000000
7484000,7098000,386000,785000,440000,507000,246000,871000,206000,564000,666000,2813000,50000000
7907000,6600000,1307000,784000,594000,442000,423000,498000,319000,627000,552000,2361000,100000000
10896000,9819000,1077000,1483000,471000,860000,605000,740000,228000,1119000,476000,3837000,100000000
27475000,21263000,6212000,2923000,2001000,1210000,1435000,3284000,1188000,2247000,2426000,4549000,200000000
7235000,5858000,1377000,1036000,455000,351000,334000,814000,296000,362000,394000,1816000,100000000
28686000,23530000,5156000,2435000,1184000,1823000,1526000,2538000,621000,2126000,2534000,8743000,50000000
9322000,7170000,2152000,784000,710000,789000,322000,919000,326000,1070000,898000,1352000,50000000
10822000,9641000,1181000,1568000,450000,744000,578000,877000,348000,638000,923000,3515000,100000000
5403000,5016000,387000,677000,327000,444000,231000,423000,134000,346000,227000,2207000,500000000
7548000,6710000,838000,804000,317000,497000,396000,612000,186000,829000,601000,2468000,100000000
17605000,16079000,1526000,2339000,754000,1396000,648000,1391000,437000,1811000,992000,6311000,500000000
17195000,15466000,1729000,2185000,1298000,968000,945000,1673000,653000,1094000,893000,5757000,200000000
19382000,16218000,3164000,2271000,1369000,1565000,912000,1417000,487000,1874000,1660000,4663000,200000000
6954000,5973000,981000,604000,333000,418000,210000,431000,152000,326000,399000,3100000,200000000
19422000,14640000,4782000,2658000,1259000,1320000,885000,1932000,946000,1621000,944000,3075000,200000000
26200000,22697000,3503000,3684000,1881000,1278000,1030000,1367000,555000,2874000,1317000,8711000,100000000
16501000,15175000,1326000,1519000,1247000,1419000,523000,1655000,659000,1772000,1331000,5050000,50000000
21266000,16482000,4784000,2967000,1249000,1597000,923000,1455000,1022000,1196000,1434000,4639000,100000000
12206000,10921000,1285000,1727000,926000,1012000,480000,773000,258000,1009000,641000,4095000,100000000
13324000,12370000,954000,1578000,804000,671000,481000,1020000,653000,958000,597000,5608000,200000000
28235000,23103000,5132000,3556000,1907000,1225000,1143000,1644000,990000,2396000,2717000,7525000,100000000
23161000,20815000,2346000,2473000,1833000,1317000,820000,1781000,1009000,1066000,2313000,8203000,50000000
17414000,16488000,926000,1737000,861000,1146000,679000,995000,675000,2064000,1108000,7223000,100000000
5061000,4136000,925000,661000,237000,405000,169000,424000,195000,431000,278000,1336000,500000000
18596000,17397000,1199000,2610000,998000,1114000,605000,1159000,812000,921000,790000,8388000,200000000
19665000,18673000,992000,2474000,916000,1052000,1127000,1162000,432000,1797000,1149000,8564000,100000000
28187000,22932000,5255000,3264000,1448000,1653000,1609000,2552000,896000,1145000,2113000,8252000,100000000
23273000,20000000,3273000,2121000,1623000,1750000,1276000,2182000,1142000,943000,1663000,7300000,200000000
15275000,12054000,3221000,1279000,903000,868000,564000,770000,331000,830000,988000,5521000,500000000
18023000,16530000,1493000,2004000,991000,1603000,933000,1390000,503000,1112000,1112000,6882000,200000000
21817000,18498000,3319000,1821000,1194000,1064000,1040000,1210000,876000,1332000,2153000,7808000,500000000
11485000,10644000,841000,1377000,549000,892000,362000,1168000,264000,867000,804000,4361000,200000000
25137000,21820000,3317000,2684000,1455000,1746000,1432000,2456000,907000,2037000,1019000,8084000,50000000
12655000,11120000,1535000,1683000,822000,654000,759000,677000,524000,934000,1037000,4030000,200000000
9260000,7615000,1645000,939000,422000,719000,475000,1073000,396000,647000,694000,2250000,200000000
26737000,22066000,4671000,3249000,2110000,1668000,988000,3134000,985000,2503000,1323000,6106000,100000000
10726000,9636000,1090000,1262000,619000,795000,500000,788000,376000,642000,885000,3769000,1000000000
22194000,20859000,1335000,1783000,1729000,1623000,739000,1313000,919000,2002000,914000,9837000,100000000
20421000,18972000,1449000,1737000,927000,930000,796000,1185000,497000,2380000,1706000,8814000,50000000
28850000,22140000,6710000,2894000,2039000,2366000,1486000,3140000,1166000,2243000,1413000,5393000,100000000
29211000,23506000,5705000,4141000,1890000,2164000,1140000,2399000,1390000,2363000,2894000,5125000,100000000
9965000,7589000,2376000,900000,725000,788000,343000,505000,403000,979000,704000,2242000,500000000
5813000,4804000,1009000,754000,372000,363000,176000,667000,124000,468000,236000,1644000,20000000
5225000,4045000,1180000,774000,410000,260000,246000,478000,184000,269000,472000,952000,200000000
16506000,13129000,3377000,2234000,1074000,929000,975000,1623000,690000,1467000,1477000,2660000,100000000
25560000,23031000,2529000,2479000,1825000,2174000,1138000,2752000,544000,2063000,2193000,7863000,200000000
24773000,19820000,4953000,3557000,1861000,2153000,901000,2658000,1062000,2877000,1791000,2960000,100000000
12734000,10545000,2189000,1102000,873000,816000,559000,704000,362000,604000,676000,4849000,100000000
27372000,25074000,2298000,3087000,1669000,1504000,1316000,2468000,1031000,2270000,2146000,9583000,200000000
10675000,9940000,735000,1517000,543000,817000,577000,1054000,523000,954000,970000,2985000,100000000
13658000,11974000,1684000,1706000,1013000,1069000,595000,765000,681000,1224000,950000,3971000,100000000
11609000,9669000,1940000,1265000,688000,938000,409000,761000,453000,520000,511000,4124000,50000000
27278000,22877000,4401000,2741000,1768000,1134000,972000,2120000,948000,1807000,2687000,8700000,50000000
9372000,8001000,1371000,996000,405000,379000,534000,1050000,237000,572000,755000,3073000,100000000
23339000,19937000,3402000,2699000,1398000,1350000,866000,2557000,613000,2203000,2309000,5942000,200000000
26809000,25380000,1429000,2743000,1821000,1277000,1390000,2808000,881000,2650000,1373000,10437000,100000000
15611000,14763000,848000,2308000,989000,1253000,594000,1863000,641000,886000,815000,5414000,200000000
10478000,9100000,1378000,1523000,607000,698000,541000,702000,451000,1112000,482000,2984000,500000000
6119000,5183000,936000,862000,299000,497000,198000,506000,163000,482000,322000,1854000,50000000
16718000,13623000,3095000,1831000,876000,817000,606000,1359000,603000,1020000,777000,5734000,1000000000
21351000,17443000,3908000,2741000,1452000,1524000,902000,2082000,806000,1366000,1204000,5366000,100000000
15596000,11743000,3853000,2233000,764000,1076000,709000,1708000,730000,953000,1167000,2403000,50000000
19013000,16572000,2441000,2653000,1233000,1084000,772000,1605000,880000,1680000,1696000,4969000,100000000
12103000,11191000,912000,1319000,770000,797000,571000,1022000,539000,994000,554000,4625000,50000000
7558000,6725000,833000,664000,596000,525000,301000,700000,268000,870000,374000,2427000,200000000
11660000,9289000,2371000,995000,495000,985000,587000,1189000,256000,722000,669000,3391000,50000000
8080000,7282000,798000,973000,358000,346000,366000,518000,243000,530000,490000,3458000,100000000
6662000,5240000,1422000,833000,401000,541000,341000,782000,257000,270000,622000,1193000,50000000
24433000,19272000,5161000,3408000,1492000,2175000,1049000,1379000,956000,1560000,1310000,5943000,500000000
21887000,18739000,3148000,2199000,910000,1676000,1232000,1130000,995000,1315000,1043000,8239000,100000000
23693000,19049000,4644000,2173000,1730000,1821000,982000,1780000,744000,1710000,2190000,5919000,200000000
11314000,8935000,2379000,1205000,676000,576000,444000,1121000,544000,901000,1052000,2416000,200000000
14793000,11904000,2889000,1550000,797000,979000,691000,1752000,368000,1385000,1289000,3093000,20000000
7008000,6219000,789000,626000,370000,528000,317000,808000,151000,388000,441000,2590000,100000000
6659000,6100000,559000,846000,496000,467000,303000,654000,168000,563000,631000,1972000,100000000
7149000,6621000,528000,826000,342000,424000,385000,576000,242000,703000,474000,2649000,200000000
12356000,9357000,2999000,1612000,574000,1075000,589000,1133000,552000,733000,1081000,2008000,200000000
26283000,24472000,1811000,2752000,1275000,1727000,1487000,3096000,647000,1790000,1737000,9961000,50000000
29251000,25209000,4042000,3007000,1901000,2589000,1421000,2006000,1066000,1650000,2016000,9553000,100000000
29436000,27366000,2070000,3329000,2132000,2007000,902000,2457000,1275000,1439000,2697000,11128000,50000000
11404000,9021000,2383000,1613000,607000,909000,640000,1123000,240000,1146000,457000,2286000,200000000
9135000,7668000,1467000,757000,429000,704000,504000,463000,194000,541000,516000,3560000,200000000
5911000,5408000,503000,806000,286000,432000,186000,453000,205000,410000,465000,2165000,100000000
23385000,17727000,5658000,2475000,1515000,952000,789000,2099000,596000,1399000,2229000,5673000,100000000
25674000,20034000,5640000,3590000,1280000,1126000,1199000,2903000,861000,1117000,1046000,6912000,200000000
26114000,24145000,1969000,3556000,1961000,1804000,817000,3119000,557000,2568000,1772000,7991000,1000000000
24533000,19316000,5217000,2562000,1083000,2100000,1039000,2182000,1210000,2244000,1742000,5154000,1000000000
15422000,12046000,3376000,1983000,637000,1080000,914000,1791000,611000,1204000,1542000,2284000,100000000
15701000,12492000,3209000,1432000,684000,813000,552000,894000,637000,1475000,1285000,4720000,500000000
17985000,15823000,2162000,2567000,1328000,1007000,651000,1782000,635000,1937000,856000,5060000,100000000
19765000,17763000,2002000,2141000,1305000,1406000,994000,1542000,884000,1769000,1449000,6273000,200000000
21849000,18463000,3386000,2445000,1711000,1526000,684000,2241000,983000,2459000,1076000,5338000,20000000
14133000,12086000,2047000,1829000,755000,1241000,772000,1565000,350000,793000,1181000,3600000,500000000
12613000,10510000,2103000,1734000,612000,838000,454000,678000,543000,1396000,780000,3475000,200000000
25223000,21853000,3370000,2435000,1576000,1457000,1159000,2913000,933000,2102000,2009000,7269000,500000000
21386000,19415000,1971000,2701000,1316000,1417000,801000,1171000,917000,2295000,2003000,6794000,200000000
27028000,22594000,4434000,2904000,1720000,2144000,1345000,2777000,1285000,2689000,2365000,5365000,50000000
8613000,7256000,1357000,911000,464000,577000,410000,472000,259000,384000,756000,3023000,100000000
22603000,17366000,5237000,2900000,909000,1273000,1320000,2494000,839000,2419000,1285000,3927000,100000000
17106000,14077000,3029000,1832000,708000,974000,742000,1101000,746000,1146000,1291000,5537000,200000000
15246000,12137000,3109000,1589000,1015000,1187000,858000,1226000,756000,1126000,782000,3598000,100000000
15047000,13009000,2038000,2084000,917000,652000,711000,1735000,577000,615000,801000,4917000,100000000
